totClicks_1,totClicks_2,totClicks_3,totClicks_4,totClicks_5,totClicks_6,totClicks_7,totClicks_8,totClicks_9,totClicks_10,totClicks_11,totClicks_12,totClicks_13,totClicks_14,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,delay_1,delay_2,delay_3,delay_4,delay_5,delay_6,delay_7,delay_8,delay_9,delay_10,delay_11,delay_12,delay_13,delay_14
73.054457,0.000000,30.901684,2.771186,14.677753,0.193320,13.155945,0.236664,15.632824,1.138682,6.882905,3.549306,2.444230,15.321000,13.081895,0.000000,0.000000,0.000000,0.779924,0.000000,0.489010,0.205893,0.081021,0.096010,0.000000,0.000000,0.000000,0.000000,190.579508,240.000000,240.000000,240.000000,238.342172,240.000000,238.039862,239.050115,238.870476,239.377231,240.000000,240.000000,240.000000,240.000000
26.468543,0.000000,18.636382,2.589898,12.594812,0.102859,12.178962,0.425522,16.148948,0.776258,7.153864,2.975532,2.697860,15.870965,0.000000,0.000000,0.000000,0.000000,0.280167,0.000000,0.346451,0.516742,0.062240,0.191291,0.000000,0.000000,0.000000,0.000000,240.000000,240.000000,240.000000,238.279048,238.492213,240.000000,238.550051,237.720983,239.132304,238.759192,240.000000,240.000000,240.000000,240.000000
424.403295,5.024080,1.435451,0.948397,0.000000,0.713889,3.338356,1.890572,1.479193,0.807744,3.849369,5.588231,2.938590,9.676856,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.394677,0.000000,0.186890,0.000000,0.000000,0.000000,0.000000,240.000000,240.000000,240.000000,240.000000,240.000000,240.000000,240.000000,238.335345,240.000000,238.787737,240.000000,240.000000,240.000000,240.000000
45.737075,10.634851,45.201355,11.062850,22.458795,1.387524,10.126927,1.528399,6.449083,0.154037,1.937711,1.362333,0.000000,0.000000,11.887318,19.030785,20.692738,11.157184,2.321067,0.000000,0.496947,1.313632,0.356564,0.569929,0.000000,0.000000,0.000000,0.000000,135.215496,110.142878,135.655767,179.253137,215.012626,240.000000,238.244428,234.295522,235.029080,236.303164,240.000000,240.000000,240.000000,240.000000
39.917839,0.000000,0.000000,2.252624,0.000000,0.000000,0.000000,1.163267,0.424890,0.000000,0.773042,0.000000,1.355229,10.767773,9.917839,0.000000,0.000000,1.332906,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,137.371932,240.000000,240.000000,234.213468,234.560256,240.000000,240.000000,240.000000,240.000000,240.000000,240.000000,240.000000,240.000000,240.000000
137.654947,14.997847,17.173961,0.055875,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.492466,43.327115,0.000000,4.805435,2.667634,0.000000,1.315687,2.052779,0.012233,0.736842,0.000000,0.000000,0.000000,0.000000,41.695128,38.362273,240.000000,213.813678,229.126914,240.000000,235.087509,230.719417,239.829454,235.220483,240.000000,240.000000,240.000000,240.000000
177.194848,16.411236,60.858332,10.421016,13.677148,0.726972,0.180310,0.000000,3.191633,0.000000,0.879883,6.450916,0.846216,2.560266,54.704119,58.123126,53.336516,26.175107,11.590402,0.000000,2.227057,0.924083,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,77.255247,75.887644,77.939048,135.225684,196.157023,240.000000,230.381859,236.041347,240.000000,240.000000,240.000000,240.000000,240.000000,240.000000
110.431733,0.000000,0.000000,1.355975,3.950195,0.115576,6.250408,0.483783,8.204490,0.499511,4.159793,2.536648,2.516851,11.990209,0.000000,0.000000,0.000000,0.000000,0.117021,0.000000,0.278354,0.511086,0.000000,0.205179,0.000000,0.000000,0.000000,0.000000,240.000000,240.000000,240.000000,240.000000,238.991293,240.000000,238.882221,237.765860,240.000000,238.669108,240.000000,240.000000,240.000000,240.000000
270.139950,4.795205,37.408410,3.276526,12.917240,0.699970,14.693135,1.795865,16.332618,1.340824,9.421710,6.447856,3.287509,16.939743,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.097147,0.399754,0.000000,0.160121,0.000000,0.000000,0.000000,0.000000,240.000000,240.000000,240.000000,240.000000,240.000000,240.000000,239.672980,238.276139,240.000000,238.961377,240.000000,240.000000,240.000000,240.000000
885.798069,22.258989,364.912649,21.530058,105.327885,4.319498,89.067618,7.960113,84.951334,7.151122,44.615673,31.609040,7.810057,54.360195,20.353648,16.786514,20.353648,7.031931,4.949773,0.000000,0.167171,0.000000,0.650455,0.000000,0.000000,0.000000,0.000000,0.000000,190.060121,189.640458,190.269952,222.841625,232.556408,240.000000,239.307195,240.000000,230.931887,240.000000,240.000000,240.000000,240.000000,240.000000
